SynapseID,FromSegmentID,ToSegmentID,xPosition,yPosition,zPosition
598,14157,13182,32.93,49.44,33.93
599,13841,13201,34.85,54.02,33.9
600,15213,14718,37.75,50.04,33.93
601,13773,10016,38.88,51.38,33.96
602,16627,16670,18.94,43.51,34.02
603,16395,16407,22.63,46.42,33.93
604,14049,12323,24.5,53.09,33.96
605,14199,14537,27.26,48.65,33.9
606,14019,13217,28.22,54.05,33.96
607,13863,13199,33.77,55.27,33.99
608,16472,16476,17.09,44.02,34.14
609,13949,13222,32.14,47.95,34.02
610,14071,13205,37.39,57.17,33.99
611,15213,13191,37.51,49.78,34.14
612,14174,10016,41.33,54.07,33.99
613,14238,10017,33.7,56.71,34.08
614,13984,13186,40.3,53.86,34.05
615,13949,13213,34.2,48.89,34.11
616,14118,14651,37.42,49.15,34.05
617,16462,10016,20.59,51.41,34.29
618,16284,10016,24.77,46.99,34.05
619,14008,15599,25.97,53.76,34.05
620,10864,13183,27.14,54,34.05
621,13882,12323,31.8,53.66,34.17
622,16463,16670,20.11,45.36,34.14
623,14516,13228,22.8,52.7,34.11
624,13868,10013,30.55,53.66,34.14
625,14103,13189,36.58,56.4,34.08
626,14176,10016,37.49,57.5,34.11
627,16479,10013,20.52,48.89,34.11
628,16184,16576,20.59,45.79,34.08
629,14210,13222,32.14,48.94,34.17
630,13758,10013,32.26,55.61,34.2
631,13982,10017,38.93,52.06,34.14
632,16610,16178,21.72,46.01,34.23
633,16297,16243,22.78,50.78,34.26
634,14157,13183,32.52,49.75,34.23
635,14394,14651,32.93,48.36,34.26
636,13855,10016,34.03,53.69,34.17
637,14006,10013,37.32,54.82,34.14
638,14154,14811,40.42,52.7,34.14
639,16676,16568,17.23,49.97,34.17
640,14452,13228,22.75,52.94,34.26
641,14194,15502,27.19,47.69,34.2
642,13860,13199,36.55,55.1,34.2
643,13852,13189,37.06,57.34,34.2
644,14156,10016,39.19,51.43,34.26
645,16564,16692,17.4,47.69,34.2
646,16565,16476,18.07,42.98,34.23
647,16215,16178,18.62,44.71,34.2
648,16606,16497,21.46,49.34,34.32
649,14226,13206,28.06,55.06,34.26
650,13854,13193,33.82,54.05,34.26
651,13703,10016,34.13,50.16,34.26
652,13968,13196,36.41,55.61,34.2
653,16479,16243,21.91,52.22,34.23
654,14198,13220,23.78,51.48,34.23
655,14113,13183,28.1,54.53,34.29
656,13967,13202,35.52,56.21,34.29
657,13928,16145,41.23,50.52,34.29
658,13933,12323,28.01,53.28,34.32
659,15767,14803,33.94,47.59,34.32
660,13961,13192,36.77,51.5,34.35
661,13830,13216,37.87,55.03,34.35
662,16529,10016,16.97,47.06,34.26
663,13703,10016,34.46,54.26,34.32
664,16657,10016,19.61,44.81,34.35
665,14156,16636,23.66,47.78,34.32
666,14582,13506,41.11,51.43,34.35
667,16501,16192,19.42,44.14,34.41
668,16297,10013,22.49,50.66,34.41
669,14068,13192,26.33,53.42,34.38
670,13777,10016,31.25,50.06,34.35
671,15703,16178,20.52,46.18,34.38
672,13910,13181,36.02,54.79,34.44
673,14201,16624,19.7,49.92,34.47
674,13923,10016,32.57,51.1,34.44
675,13948,13182,32.52,56.09,34.47
676,14558,15502,23.5,48.07,34.5
677,13703,13190,34.32,54.29,34.77
678,16613,10016,23.62,51.82,34.74
679,12280,10015,26.26,46.58,34.86
680,13766,13192,27.26,52.82,34.8
681,14033,13202,31.73,55.63,34.65
682,13863,10013,33.1,55.08,34.62
683,14133,13201,34.32,57.1,34.62
684,13887,13205,37.13,55.56,34.68
685,14118,12531,38.11,48.77,34.65
686,13825,13200,39.05,57.02,34.71
687,16249,16476,17.52,42.89,34.71
688,16325,10014,23.5,52.44,34.77
689,13754,10014,26.71,49.75,34.77
690,13703,10013,33.62,53.95,34.77
691,13885,13188,35.38,55.46,34.77
692,13951,10014,38.66,52.51,34.71
693,16363,10018,20.09,48.82,34.71
